[2026-09-09 11:04:32 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Sep 09, 2026 at 07:04:32 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		CLA_4_bit_tb
Loading snapshot worklib.CLA_4_bit_tb:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
A=0000 | B=0000 | C=0 | Sum=0000 | Carry=0
A=1101 | B=1001 | C=0 | Sum=0110 | Carry=1
A=1101 | B=1001 | C=1 | Sum=0111 | Carry=1
A=1101 | B=1010 | C=0 | Sum=0111 | Carry=1
A=1101 | B=1010 | C=1 | Sum=1000 | Carry=1
A=1101 | B=1011 | C=0 | Sum=1000 | Carry=1
A=1101 | B=1011 | C=1 | Sum=1001 | Carry=1
A=1101 | B=1100 | C=0 | Sum=1001 | Carry=1
A=1101 | B=1100 | C=1 | Sum=1010 | Carry=1
A=1101 | B=1101 | C=0 | Sum=1010 | Carry=1
A=1101 | B=1101 | C=1 | Sum=1011 | Carry=1
A=1101 | B=1110 | C=0 | Sum=1011 | Carry=1
A=1101 | B=1110 | C=1 | Sum=1100 | Carry=1
A=1101 | B=1111 | C=0 | Sum=1100 | Carry=1
A=1101 | B=1111 | C=1 | Sum=1101 | Carry=1
A=1110 | B=0000 | C=0 | Sum=1110 | Carry=0
A=1110 | B=0000 | C=1 | Sum=1111 | Carry=0
A=1110 | B=0001 | C=0 | Sum=1111 | Carry=0
A=1110 | B=0001 | C=1 | Sum=0000 | Carry=1
A=1110 | B=0010 | C=0 | Sum=0000 | Carry=1
A=1110 | B=0010 | C=1 | Sum=0001 | Carry=1
A=1110 | B=0011 | C=0 | Sum=0001 | Carry=1
A=1110 | B=0011 | C=1 | Sum=0010 | Carry=1
A=1110 | B=0100 | C=0 | Sum=0010 | Carry=1
A=1110 | B=0100 | C=1 | Sum=0011 | Carry=1
A=1110 | B=0101 | C=0 | Sum=0011 | Carry=1
A=1110 | B=0101 | C=1 | Sum=0100 | Carry=1
A=1110 | B=0110 | C=0 | Sum=0100 | Carry=1
A=1110 | B=0110 | C=1 | Sum=0101 | Carry=1
A=1110 | B=0111 | C=0 | Sum=0101 | Carry=1
A=1110 | B=0111 | C=1 | Sum=0110 | Carry=1
A=1110 | B=1000 | C=0 | Sum=0110 | Carry=1
A=1110 | B=1000 | C=1 | Sum=0111 | Carry=1
A=1110 | B=1001 | C=0 | Sum=0111 | Carry=1
A=1110 | B=1001 | C=1 | Sum=1000 | Carry=1
A=1110 | B=1010 | C=0 | Sum=1000 | Carry=1
A=1110 | B=1010 | C=1 | Sum=1001 | Carry=1
A=1110 | B=1011 | C=0 | Sum=1001 | Carry=1
A=1110 | B=1011 | C=1 | Sum=1010 | Carry=1
A=1110 | B=1100 | C=0 | Sum=1010 | Carry=1
A=1110 | B=1100 | C=1 | Sum=1011 | Carry=1
A=1110 | B=1101 | C=0 | Sum=1011 | Carry=1
A=1110 | B=1101 | C=1 | Sum=1100 | Carry=1
A=1110 | B=1110 | C=0 | Sum=1100 | Carry=1
A=1110 | B=1110 | C=1 | Sum=1101 | Carry=1
A=1110 | B=1111 | C=0 | Sum=1101 | Carry=1
A=1110 | B=1111 | C=1 | Sum=1110 | Carry=1
A=1111 | B=0000 | C=0 | Sum=1111 | Carry=0
A=1111 | B=0000 | C=1 | Sum=0000 | Carry=1
A=1111 | B=0001 | C=0 | Sum=0000 | Carry=1
A=1111 | B=0001 | C=1 | Sum=0001 | Carry=1
A=1111 | B=0010 | C=0 | Sum=0001 | Carry=1
A=1111 | B=0010 | C=1 | Sum=0010 | Carry=1
A=1111 | B=0011 | C=0 | Sum=0010 | Carry=1
A=1111 | B=0011 | C=1 | Sum=0011 | Carry=1
A=1111 | B=0100 | C=0 | Sum=0011 | Carry=1
A=1111 | B=0100 | C=1 | Sum=0100 | Carry=1
A=1111 | B=0101 | C=0 | Sum=0100 | Carry=1
A=1111 | B=0101 | C=1 | Sum=0101 | Carry=1
A=1111 | B=0110 | C=0 | Sum=0101 | Carry=1
A=1111 | B=0110 | C=1 | Sum=0110 | Carry=1
A=1111 | B=0111 | C=0 | Sum=0110 | Carry=1
A=1111 | B=0111 | C=1 | Sum=0111 | Carry=1
A=1111 | B=1000 | C=0 | Sum=0111 | Carry=1
A=1111 | B=1000 | C=1 | Sum=1000 | Carry=1
A=1111 | B=1001 | C=0 | Sum=1000 | Carry=1
A=1111 | B=1001 | C=1 | Sum=1001 | Carry=1
A=1111 | B=1010 | C=0 | Sum=1001 | Carry=1
A=1111 | B=1010 | C=1 | Sum=1010 | Carry=1
A=1111 | B=1011 | C=0 | Sum=1010 | Carry=1
A=1111 | B=1011 | C=1 | Sum=1011 | Carry=1
A=1111 | B=1100 | C=0 | Sum=1011 | Carry=1
A=1111 | B=1100 | C=1 | Sum=1100 | Carry=1
A=1111 | B=1101 | C=0 | Sum=1100 | Carry=1
A=1111 | B=1101 | C=1 | Sum=1101 | Carry=1
A=1111 | B=1110 | C=0 | Sum=1101 | Carry=1
A=1111 | B=1110 | C=1 | Sum=1110 | Carry=1
A=1111 | B=1111 | C=0 | Sum=1110 | Carry=1
A=1111 | B=1111 | C=1 | Sum=1111 | Carry=1
Simulation complete via $finish(1) at time 5120 NS + 0
./testbench.sv:28     $finish;
xcelium> exit
TOOL:	xrun	25.03-s001: Exiting on Sep 09, 2026 at 07:04:33 EDT  (total: 00:00:01)
Finding VCD file...
./dump.vcd
[2026-09-09 11:04:34 UTC] Opening EPWave...
Done
